date,confirmed,deaths,recovered,confirmed_diff,deaths_diff,recovered_diff,last_update,active,active_diff,fatality_rate,region.iso,region.name,region.province,region.lat,region.long,region.cities
2023-03-09,209451,7896,0,0,0,0,2023-03-10 04:21:03,201555,0,0.0377,AFG,Afghanistan,,33.9391,67.7100,[]
2023-03-09,334457,3598,0,14,0,0,2023-03-10 04:21:03,330859,14,0.0108,ALB,Albania,,41.1533,20.1683,[]
2023-03-09,271496,6881,0,2,0,0,2023-03-10 04:21:03,264615,2,0.0253,DZA,Algeria,,28.0339,1.6596,[]
2023-03-09,47890,165,0,0,0,0,2023-03-10 04:21:03,47725,0,0.0034,AND,Andorra,,42.5063,1.5218,[]
2023-03-09,105288,1933,0,0,0,0,2023-03-10 04:21:03,103355,0,0.0184,AGO,Angola,,-11.2027,17.8739,[]
2023-03-09,9106,146,0,0,0,0,2023-03-10 04:21:03,8960,0,0.016,ATG,Antigua and Barbuda,,17.0608,-61.7964,[]
2023-03-09,10044957,130472,0,0,0,0,2023-03-10 04:21:03,9914485,0,0.013,ARG,Argentina,,-38.4161,-63.6167,[]
2023-03-09,447308,8727,0,0,0,0,2023-03-10 04:21:03,438581,0,0.0195,ARM,Armenia,,40.0691,45.0382,[]
2023-03-09,232974,228,0,355,0,0,2023-03-10 04:21:03,232746,355,0.001,AUS,Australia,Australian Capital Territory,-35.4735,149.0124,[]
2023-03-09,3915992,6529,0,7863,36,0,2023-03-10 04:21:03,3909463,7827,0.0017,AUS,Australia,New South Wales,-33.8688,151.2093,[]
2023-03-09,105111,91,0,90,1,0,2023-03-10 04:21:03,105020,89,0.0009,AUS,Australia,Northern Territory,-12.4634,130.8456,[]
2023-03-09,1800236,2783,0,0,0,0,2023-03-10 04:21:03,1797453,0,0.0015,AUS,Australia,Queensland,-28.0167,153.4000,[]
2023-03-09,883620,1365,0,1709,43,0,2023-03-10 04:21:03,882255,1666,0.0015,AUS,Australia,South Australia,-34.9285,138.6007,[]
2023-03-09,287507,256,0,610,3,0,2023-03-10 04:21:03,287251,607,0.0009,AUS,Australia,Tasmania,-41.4545,145.9707,[]
2023-03-09,2880559,7370,0,3299,32,0,2023-03-10 04:21:03,2873189,3267,0.0026,AUS,Australia,Victoria,-37.8136,144.9631,[]
2023-03-09,1293461,952,0,0,0,0,2023-03-10 04:21:03,1292509,0,0.0007,AUS,Australia,Western Australia,-31.9505,115.8605,[]
2023-03-09,5961143,21970,0,5283,21,0,2023-03-10 04:21:03,5939173,5262,0.0037,AUT,Austria,,47.5162,14.5501,[]
2023-03-09,828825,10138,0,6,0,0,2023-03-10 04:21:03,818687,6,0.0122,AZE,Azerbaijan,,40.1431,47.5769,[]
2023-03-09,37491,833,0,0,0,0,2023-03-10 04:21:03,36658,0,0.0222,BHS,Bahamas,,24.2500,-76.0000,[]
2023-03-09,710693,1553,0,387,0,0,2023-03-10 04:21:03,709140,387,0.0022,BHR,Bahrain,,26.0667,50.5577,[]
2023-03-09,2037871,29445,0,0,0,0,2023-03-10 04:21:03,2008426,0,0.0144,BGD,Bangladesh,,23.6850,90.3563,[]
2023-03-09,106798,579,0,153,4,0,2023-03-10 04:21:03,106219,149,0.0054,BRB,Barbados,,13.1939,-59.5432,[]
